chunk,position,study_id,model_view,original_horizontal_flip,original_distance_from_starting_side,original_distance_nonzero,counterfactual_horizontal_flip,counterfactual_distance_from_starting_side,counterfactual_distance_nonzero
0,0,RSNA_10011,L-CC,NO,0.0,False,,,
0,0,RSNA_10011,R-CC,NO,0.0,False,,,
0,0,RSNA_10011,L-MLO,NO,0.0,False,,,
0,0,RSNA_10011,R-MLO,NO,0.0,False,,,
0,1,RSNA_10038,L-CC,NO,0.0,False,,,
0,1,RSNA_10038,R-CC,NO,0.0,False,,,
0,1,RSNA_10038,L-MLO,NO,0.0,False,,,
0,1,RSNA_10038,R-MLO,NO,0.0,False,,,
0,2,RSNA_10048,L-CC,NO,0.0,False,,,
0,2,RSNA_10048,R-CC,NO,0.0,False,,,
0,2,RSNA_10048,L-MLO,NO,0.0,False,,,
0,2,RSNA_10048,R-MLO,NO,0.0,False,,,
0,3,RSNA_10086,L-CC,NO,0.0,False,,,
0,3,RSNA_10086,R-CC,NO,0.0,False,,,
0,3,RSNA_10086,L-MLO,NO,0.0,False,,,
0,3,RSNA_10086,R-MLO,NO,0.0,False,,,
0,4,RSNA_10102,L-CC,NO,261.0,True,YES,0.0,False
0,4,RSNA_10102,R-CC,NO,537.0,True,YES,0.0,False
0,4,RSNA_10102,L-MLO,NO,168.0,True,YES,0.0,False
0,4,RSNA_10102,R-MLO,NO,603.0,True,YES,0.0,False
0,5,RSNA_10106,L-CC,NO,0.0,False,,,
0,5,RSNA_10106,R-CC,NO,0.0,False,,,
0,5,RSNA_10106,L-MLO,NO,0.0,False,,,
0,5,RSNA_10106,R-MLO,NO,0.0,False,,,
0,6,RSNA_10116,L-CC,NO,0.0,False,,,
0,6,RSNA_10116,R-CC,NO,0.0,False,,,
0,6,RSNA_10116,L-MLO,NO,0.0,False,,,
0,6,RSNA_10116,R-MLO,NO,0.0,False,,,
0,7,RSNA_10119,L-CC,NO,0.0,False,,,
0,7,RSNA_10119,R-CC,NO,0.0,False,,,
0,7,RSNA_10119,L-MLO,NO,0.0,False,,,
0,7,RSNA_10119,R-MLO,NO,0.0,False,,,
0,8,RSNA_10136,L-CC,NO,0.0,False,,,
0,8,RSNA_10136,R-CC,NO,0.0,False,,,
0,8,RSNA_10136,L-MLO,NO,0.0,False,,,
0,8,RSNA_10136,R-MLO,NO,0.0,False,,,
0,9,RSNA_1015,L-CC,NO,0.0,False,,,
0,9,RSNA_1015,R-CC,NO,0.0,False,,,
0,9,RSNA_1015,L-MLO,NO,0.0,False,,,
0,9,RSNA_1015,R-MLO,NO,0.0,False,,,
0,10,RSNA_10151,L-CC,NO,0.0,False,,,
0,10,RSNA_10151,R-CC,NO,0.0,False,,,
0,10,RSNA_10151,L-MLO,NO,0.0,False,,,
0,10,RSNA_10151,R-MLO,NO,0.0,False,,,
0,11,RSNA_10152,L-CC,NO,0.0,False,,,
0,11,RSNA_10152,R-CC,NO,0.0,False,,,
0,11,RSNA_10152,L-MLO,NO,0.0,False,,,
0,11,RSNA_10152,R-MLO,NO,0.0,False,,,
0,12,RSNA_10153,L-CC,NO,0.0,False,,,
0,12,RSNA_10153,R-CC,NO,0.0,False,,,
0,12,RSNA_10153,L-MLO,NO,0.0,False,,,
0,12,RSNA_10153,R-MLO,NO,0.0,False,,,
0,13,RSNA_10179,L-CC,NO,0.0,False,,,
