model,class,count,min,q10,q25,median,q75,q90,max,mean,std
gmic,ALL,3570,0.001,0.0129,0.0258,0.0691,0.26045,1.0,1.0,0.2457329131652661,0.34892554772486767
gmic,BENIGN,3426,0.001,0.0128,0.025,0.06555,0.23415,1.0,1.0,0.2376265032107414,0.34631398016624154
gmic,MALIGNANT,144,0.0086,0.04256000000000001,0.0953,0.38495,0.72855,1.0,1.0,0.4385979166666666,0.35522722568893805
nyu,ALL,3570,0.0,0.006640000000000021,0.0277,0.0511,0.108775,0.29880999999999963,0.9225,0.10589781512605043,0.14242474368688168
nyu,BENIGN,3426,0.0,0.005849999999999999,0.0275,0.04945,0.1021,0.27349999999999997,0.9225,0.10168099824868652,0.1373970896458022
nyu,MALIGNANT,144,0.0,0.01992,0.0635,0.12129999999999999,0.300525,0.5,0.8944,0.20622291666666664,0.20800930925974268
glam,ALL,3570,0.0,0.0,0.0072,0.0189,0.045975,0.12363999999999996,0.9904,0.052496918767507,0.10487485636466354
glam,BENIGN,3426,0.0,0.0,0.0071,0.0184,0.043,0.1136,0.9111,0.04854497956800933,0.09705798971730838
glam,MALIGNANT,144,0.0,0.0,0.0171,0.0663,0.18385,0.4200200000000001,0.9904,0.1465201388888889,0.19834695911873054
baseline_ensemble,ALL,3570,0.0093333279,0.01576665867,0.028141660125000002,0.0597666479,0.1973582029,0.33623633914,0.8218665644,0.1347091334739776,0.1512136419528614
baseline_ensemble,BENIGN,3426,0.0093333279,0.0157333242,0.027408317525000003,0.05683334500000001,0.17975829695,0.333333,0.8218665644,0.1292840796032983,0.1460931570175281
baseline_ensemble,MALIGNANT,144,0.010599993499999998,0.03187997955000001,0.08329164545,0.22316655585,0.3723165527,0.5475899140000001,0.774266645,0.2637802068138889,0.20426788384891337
