model,class,count,min,q10,q25,median,q75,q90,max,mean,std
gmic,ALL,8333,0.0036,0.0125,0.0257,0.0685,0.2674,1.0,1.0,0.24925742229689188,0.3522322255513263
gmic,BENIGN,7996,0.0036,0.0125,0.024775,0.0646,0.236,1.0,1.0,0.23940375187593796,0.34838621637675493
gmic,MALIGNANT,337,0.006,0.042760000000000006,0.136,0.4042,0.8507,1.0,1.0,0.48305548961424327,0.36198986252484244
nyu,ALL,8333,0.0,0.006820000000000004,0.0274,0.0507,0.104,0.3012600000000003,0.9971,0.1044915036601464,0.14284988315633937
nyu,BENIGN,7996,0.0,0.00595,0.0271,0.0495,0.0993,0.26990000000000003,0.9582,0.09969542271135569,0.13584086131890077
nyu,MALIGNANT,337,0.0,0.018860000000000002,0.0549,0.1275,0.3197,0.5521800000000004,0.9971,0.21828813056379823,0.23077644745910803
glam,ALL,8333,0.0,0.0,0.007,0.0186,0.0457,0.12348000000000002,0.9838,0.04969519980799232,0.09633632630150317
glam,BENIGN,7996,0.0,0.0,0.0068,0.0181,0.0426,0.1099,0.9838,0.04522655077538769,0.08812656998787433
glam,MALIGNANT,337,0.0,0.0022200000000000054,0.0139,0.0835,0.2371,0.3894,0.9265,0.15572284866468844,0.18302210219907536
baseline_ensemble,ALL,8333,0.0079000007,0.015566655600000001,0.0283666524,0.06066662839999999,0.1947665825,0.3362996726,0.9344999041000001,0.13448129046883475,0.1519060572050264
baseline_ensemble,BENIGN,7996,0.0079000007,0.015416656899999999,0.027633322125,0.058266660799999995,0.17634993285,0.333333,0.8100664866,0.12810849223886944,0.1455857434960583
baseline_ensemble,MALIGNANT,337,0.009933327499999998,0.03376664516,0.1026999693,0.2681331723,0.41876651239999996,0.5590198981200002,0.9344999041000001,0.2856886929816023,0.2094293512681686
