chunk,position,study_id,model_view,horizontal_flip,distance_from_starting_side,distance_nonzero
0,0,RSNA_10102,L-CC,YES,0.0,False
0,0,RSNA_10102,R-CC,YES,0.0,False
0,0,RSNA_10102,L-MLO,YES,0.0,False
0,0,RSNA_10102,R-MLO,YES,0.0,False
0,1,RSNA_10185,L-CC,YES,0.0,False
0,1,RSNA_10185,R-CC,YES,0.0,False
0,1,RSNA_10185,L-MLO,YES,0.0,False
0,1,RSNA_10185,R-MLO,YES,0.0,False
1,0,RSNA_10406,L-CC,YES,0.0,False
1,0,RSNA_10406,R-CC,YES,0.0,False
1,0,RSNA_10406,L-MLO,YES,0.0,False
1,0,RSNA_10406,R-MLO,YES,0.0,False
1,1,RSNA_10424,L-CC,YES,0.0,False
1,1,RSNA_10424,R-CC,YES,0.0,False
1,1,RSNA_10424,L-MLO,YES,0.0,False
1,1,RSNA_10424,R-MLO,YES,0.0,False
1,2,RSNA_10523,L-CC,YES,0.0,False
1,2,RSNA_10523,R-CC,YES,0.0,False
1,2,RSNA_10523,L-MLO,YES,0.0,False
1,2,RSNA_10523,R-MLO,YES,0.0,False
1,3,RSNA_10724,L-CC,YES,0.0,False
1,3,RSNA_10724,R-CC,YES,0.0,False
1,3,RSNA_10724,L-MLO,YES,0.0,False
1,3,RSNA_10724,R-MLO,YES,0.0,False
2,0,RSNA_10882,L-CC,YES,0.0,False
2,0,RSNA_10882,R-CC,YES,0.0,False
2,0,RSNA_10882,L-MLO,YES,0.0,False
2,0,RSNA_10882,R-MLO,YES,0.0,False
2,1,RSNA_11031,L-CC,YES,0.0,False
2,1,RSNA_11031,R-CC,YES,0.0,False
2,1,RSNA_11031,L-MLO,YES,0.0,False
2,1,RSNA_11031,R-MLO,YES,0.0,False
2,2,RSNA_11098,L-CC,YES,0.0,False
2,2,RSNA_11098,R-CC,YES,0.0,False
2,2,RSNA_11098,L-MLO,YES,0.0,False
2,2,RSNA_11098,R-MLO,YES,0.0,False
3,0,RSNA_11357,L-CC,YES,0.0,False
3,0,RSNA_11357,R-CC,YES,0.0,False
3,0,RSNA_11357,L-MLO,YES,0.0,False
